depth,r2_kfold,r2_groupkfold
2,0.29859976266776345,-3.4698825375816726
3,0.33823478375098254,-3.3615590697124986
4,0.31730184927755967,-3.543711780190435
5,0.3149425414472571,-3.6078945462140437
