view,target,r2_kfold,r2_groupkfold,n,n_groups,y_std,y_mean
FACEON,Distance,0.5027220729110644,-4.360528417395975,613,8,29.866365162891192,187.5753670473083
DTL,Distance,0.4791721054512611,-3.7185565061236168,524,8,30.1661678424882,191.65896946564882
FACEON,BallSpeed,0.5583857222639669,-4.665807370025023,613,8,6.015773416245415,55.89461663947799
DTL,BallSpeed,0.5305194708071947,-4.700097793551613,524,8,6.005318858889827,56.77671755725191
FACEON,AbsDir,0.19218517260894466,-0.4920113385759479,613,8,3.383365197760131,3.862153344208809
DTL,AbsDir,0.3365207899767334,-0.5067157119936021,524,8,3.3777099992571347,3.752099236641221
FACEON,AbsSpin,0.1974391355490705,-0.37402939379787836,613,8,613.830270534649,613.7781402936379
DTL,AbsSpin,0.12820433497209732,-0.3198014346805209,524,8,557.9928353141866,513.5954198473282
