feature,phase,family,cohens_d,abs_d,r_pb,r_cont_est,r_pearson,p_pearson,rho_spearman,p_spearman,p_ttest,view,target,q_fdr_pearson,q_fdr_ttest,sig_fdr_05
5-SHOULDER-ANGLE,5,SHOULDER-ANGLE,-0.5004480777017025,0.5004480777017025,-0.24366656750199345,-0.30539215960831384,-0.13368407135271276,0.0009425940958278181,-0.2028207477025872,4.477113823985382e-07,0.0001076699558556686,FACEON,BallSpeed,0.0030067558499824072,0.00037168258733737657,1
5-SHOULDER-HANGING-BACK,5,SHOULDER-HANGING-BACK,-0.12406406967865644,0.12406406967865644,-0.062163230243095405,-0.07791041391844798,-0.0903422848276542,0.025662753984028515,-0.35117925615925005,3.8196050297469557e-19,0.3303528392989309,FACEON,BallSpeed,0.06278654372791442,0.467690536535565,0
6-HEAD-LOC,6,HEAD-LOC,-0.020592883629298057,0.020592883629298057,-0.01034706211493127,-0.012968178922840436,-0.01601066956638257,0.6969677788680474,0.03055407729624273,0.4573167453292768,0.8727768829517966,FACEON,BallSpeed,0.8131290753460553,0.9088420434043502,0
6-HIP-SHIFTED,6,HIP-SHIFTED,0.5872421200669349,0.5872421200669349,0.28374245929545105,0.35562007256536327,0.1885982518941646,3.6840391272077284e-06,0.38506343188896747,1.971311748579073e-22,8.82554688324726e-06,FACEON,BallSpeed,2.1099496819462444e-05,3.901820727330367e-05,1
6-LEFT-ARM-ANGLE,6,LEFT-ARM-ANGLE,0.6933923368539487,0.6933923368539487,0.32748929347930755,0.41044885069605797,0.23130898102018854,1.1762315468249214e-08,0.3240337380953583,5.481597631514723e-16,2.30829625090082e-07,FACEON,BallSpeed,1.1856413991995207e-07,1.8177832975843958e-06,1
6-RIGHT-LEG-ANGLE,6,RIGHT-LEG-ANGLE,-0.4820496687012308,0.4820496687012308,-0.23530154794031022,-0.2949081140730669,-0.14892624924082806,0.0002669651379073985,-0.15012757743018978,0.00023770680023358124,0.00022122947667277835,FACEON,BallSpeed,0.0009610744964666345,0.0007056940268549386,1
6-WEIGHT-SHIFT,6,WEIGHT-SHIFT,-0.0008484756531105624,0.0008484756531105624,-0.0004279955540486932,-0.0005364153477994798,0.002596466510345452,0.9496060125285943,0.2509101449050503,5.398860929680657e-10,0.9947168611227021,FACEON,BallSpeed,0.9635780008550313,0.997953704261368,0
7-FINISH-ANGLE,7,FINISH-ANGLE,0.864851559564995,0.864851559564995,0.39456118445065674,0.4945113868196734,0.2782480973364585,1.3563500043443867e-11,0.30494467030275174,9.882666551315596e-14,5.486814583145675e-10,FACEON,BallSpeed,2.2786680072985697e-10,7.681540416403946e-09,1
7-HIP-SHIFTED,7,HIP-SHIFTED,0.32490552145142265,0.32490552145142265,0.1607747025767785,0.20150213520738766,0.06451499588613584,0.12425898851859225,0.13466753051693806,0.0012821904210752236,0.013613945969175282,FACEON,BallSpeed,0.23722170535367612,0.03267347032602068,0
0-SHOULDER-ANGLE,0,SHOULDER-ANGLE,0.6356341894537009,0.6356341894537009,0.30384296259533217,0.3808723167620428,0.21854558666189736,4.600425062268352e-08,0.2413521706150448,1.4207524355215147e-09,8.853344819827958e-07,FACEON,AbsDir,4.1403825560415164e-07,5.441568035601574e-06,1
0-STANCE-RATIO,0,STANCE-RATIO,-0.12146044158449029,0.12146044158449029,-0.06074644759853369,-0.07614670431821613,-0.06471848003392683,0.10942958897760016,-0.008773945240565916,0.8283693052412792,0.3368777646840171,FACEON,AbsDir,0.2121250494027326,0.4742636687171637,0
0-UPPER-TILT,0,UPPER-TILT,-0.026754943075896712,0.026754943075896712,-0.013400689377839529,-0.016797991850625308,-0.013958150074502879,0.7301703064612934,-0.03159036297905958,0.43495595428518985,0.8323629906667978,FACEON,AbsDir,0.836376896492027,0.8994996252193854,0
1-HEAD-LOC,1,HEAD-LOC,0.09774664081185498,0.09774664081185498,0.04846433670836623,0.060750869609690734,-0.006420590429376031,0.8739497351975729,-0.049683193227776694,0.21931709925288287,0.4443525007334458,FACEON,AbsDir,0.9167537595219786,0.5924700009779278,0
1-HIP-ROTATION,1,HIP-ROTATION,0.07906819635040717,0.07906819635040717,0.040023607002075856,0.05017027149105456,0.029571853918544964,0.46488290712603086,0.1381367415569931,0.0006045179366754082,0.5274179903349612,FACEON,AbsDir,0.636687459759564,0.6712592604263142,0
1-HIP-SHIFTED,1,HIP-SHIFTED,0.07645590790796927,0.07645590790796927,0.03789483117620089,0.047501814819415705,0.02233778893007754,0.5812598199049899,-0.2649709015843876,2.7189835602013752e-11,0.5498816186316333,FACEON,AbsDir,0.7287436548062559,0.676461210556812,0
1-LEFT-ARM-ANGLE,1,LEFT-ARM-ANGLE,-0.5069533215333452,0.5069533215333452,-0.24637654975959514,-0.30883719175603286,-0.1538084929278536,0.00013177424673884689,-0.22614321281164323,1.5039391570490572e-08,7.752925555953596e-05,FACEON,AbsDir,0.0005108786181259909,0.0002751742591690572,1
1-RIGHT-ARM-ANGLE,1,RIGHT-ARM-ANGLE,0.30041614794839283,0.30041614794839283,0.1488752976673227,0.18661771543713562,0.11963829927356182,0.003009936661150375,0.13788852616233319,0.0006185276836236203,0.018062246708072903,FACEON,AbsDir,0.008923576924822287,0.041091839446709445,1
